name,nFunctions,nCoroutines,nChannels,nClasses,should,error,actual,detected
test441,8,5,7,5,false,KotlinCompileError,false,false
test442,7,7,1,4,true,NoError,true,true
test443,6,6,4,4,true,KotlinRuntimeError,false,false
test444,6,7,2,1,false,KotlinCompileError,false,false
test445,8,2,1,4,false,NoError,false,false
test446,7,8,8,1,false,KotlinRuntimeError,false,false
test447,4,4,1,3,true,NoError,false,true
test448,4,4,2,1,false,KotlinRuntimeError,false,false
test449,7,7,1,3,false,InvalidModelError,true,false
test449,7,7,1,3,false,InvalidModelError,true,false
test450,3,3,6,0,true,NoError,true,true
test451,4,7,3,2,false,KotlinRuntimeError,false,false
test452,2,5,8,0,false,NoError,true,true
test453,6,7,2,4,true,InvalidModelError,false,false
test454,8,7,3,0,true,NoError,false,true
test455,7,5,5,4,true,InvalidModelError,true,false
test456,4,7,1,0,true,KotlinRuntimeError,false,false
test457,5,5,1,2,false,NoError,true,true
test458,8,2,5,5,true,KotlinCompileError,false,false
test459,5,1,1,5,false,KotlinRuntimeError,false,false
test460,6,5,2,3,true,InvalidModelError,true,false
test461,7,6,4,2,true,KotlinRuntimeError,false,false
test462,6,5,8,0,false,NoError,true,true
test463,6,5,7,4,false,KotlinRuntimeError,false,false
test464,4,1,8,1,false,KotlinRuntimeError,false,false
test465,8,7,4,3,true,KotlinRuntimeError,false,false
test466,2,5,3,0,false,InvalidModelError,false,false
test467,2,2,7,1,false,KotlinRuntimeError,false,false
test468,2,3,4,5,false,KotlinRuntimeError,false,false
test469,4,4,3,4,false,KotlinCompileError,false,false
test470,3,3,8,1,true,KotlinCompileError,false,false
test471,6,1,3,5,false,KotlinRuntimeError,false,false
test472,4,8,2,1,true,NoError,true,true
test473,7,2,5,5,false,KotlinCompileError,false,false
test474,8,7,4,4,false,KotlinRuntimeError,false,false
test475,5,3,3,4,false,InvalidModelError,false,false
test475,5,3,3,4,false,InvalidModelError,false,false
test475,5,3,3,4,false,NoError,false,true
test476,5,2,8,3,false,KotlinCompileError,false,false
test477,7,8,3,0,true,NoError,true,true
test478,8,4,6,2,true,NoError,true,true
test479,3,3,2,0,false,NoError,false,false
test480,2,5,7,3,true,InvalidModelError,true,false
test481,7,3,7,5,false,NoError,true,true
test482,3,3,7,1,true,KotlinRuntimeError,false,false
test483,6,4,8,0,true,NoError,true,true
test484,4,7,6,3,false,NoError,true,true
test485,8,6,3,3,false,KotlinRuntimeError,false,false
test486,7,8,6,1,false,NoError,true,true
test487,2,6,6,1,false,InvalidModelError,false,false
test487,2,6,6,1,false,InvalidModelError,false,false
test487,2,6,6,1,false,InvalidModelError,false,false
test487,2,6,6,1,false,InvalidModelError,false,false
test488,3,1,7,2,true,KotlinRuntimeError,false,false
test489,8,1,1,2,true,NoError,true,true
